tconst,title,year,runtime,genre,director,rating,num_votes,img_url
tt0002130,Dante's Inferno,1911,68,"Adventure,Drama,Fantasy",NA,7.0,1954,NA
tt0002844,Fantômas: In the Shadow of the Guillotine,1913,54,"Crime,Drama",NA,7.0,1833,NA
tt0003037,Fantomas: The Man in Black,1913,61,"Crime,Drama",NA,7.0,1280,NA
tt0003419,The Student of Prague,1913,85,"Drama,Fantasy,Horror",NA,6.5,1608,NA
tt0003643,The Avenging Conscience: or 'Thou Shalt Not Kill',1914,78,"Crime,Drama,Horror",NA,6.5,1034,NA
tt0003740,Cabiria,1914,148,"Adventure,Drama,History",NA,7.1,2807,NA
tt0003930,Fantomas: The Mysterious Finger Print,1914,59,"Crime,Drama",NA,7.0,1101,NA
tt0004181,Judith of Bethulia,1914,61,Drama,NA,6.2,1184,NA
tt0004707,Tillie's Punctured Romance,1914,82,Comedy,NA,6.3,3145,NA
tt0004972,The Birth of a Nation,1915,195,"Drama,History,War",NA,6.4,20679,NA
tt0005078,The Cheat,1915,59,"Drama,Romance",NA,6.6,2185,NA
tt0005960,The Regeneration,1915,72,"Biography,Crime,Drama",NA,6.9,1035,NA
tt0006206,Les vampires,1915,421,"Action,Adventure,Crime",NA,7.3,3896,NA
tt0006333,"20,000 Leagues Under the Sea",1916,105,"Action,Adventure,Sci-Fi",NA,6.2,1425,NA
tt0006864,Intolerance: Love's Struggle Throughout the Ages,1916,163,"Drama,History",NA,7.8,12995,NA
tt0008443,The Poor Little Rich Girl,1917,65,"Comedy,Drama,Family",NA,6.7,1219,NA
tt0008663,A Man There Was,1917,48,"Drama,War",NA,7.4,1362,NA
tt0008879,The Outlaw and His Wife,1918,136,Drama,NA,7.3,1394,NA
tt0009369,Mickey,1918,93,"Comedy,Drama",NA,5.9,1034,NA
tt0009611,Shoulder Arms,1918,45,"Comedy,War",NA,7.3,5290,NA
tt0009652,Stella Maris,1918,84,Drama,NA,6.7,1316,NA
tt0009878,Different from the Others,1919,50,"Crime,Drama,History",NA,7.0,1031,NA
tt0009893,The Oyster Princess,1919,58,Comedy,NA,7.2,1521,NA
tt0009937,Blind Husbands,1919,99,"Drama,Romance",NA,7.0,1255,NA
